Start,Finish,Steps,Distance,Weight
9/4/2016 0:00,9/5/2016 0:00,1260,0.570725791,
9/5/2016 0:00,9/6/2016 0:00,4543,2.060737205,
9/6/2016 0:00,9/7/2016 0:00,3324,1.460592523,
9/7/2016 0:00,9/8/2016 0:00,4021,1.796936043,
9/8/2016 0:00,9/9/2016 0:00,5155,2.224344857,
9/9/2016 0:00,9/10/2016 0:00,4141,1.82651243,109
9/10/2016 0:00,9/11/2016 0:00,3806,1.712328795,
9/11/2016 0:00,9/12/2016 0:00,780,0.337406662,
9/12/2016 0:00,9/13/2016 0:00,3759,1.658254308,
9/13/2016 0:00,9/14/2016 0:00,3901,1.744053087,
9/14/2016 0:00,9/15/2016 0:00,3294,1.489590169,
9/15/2016 0:00,9/16/2016 0:00,5484,2.396089033,
9/16/2016 0:00,9/17/2016 0:00,5192,2.288326821,
9/17/2016 0:00,9/18/2016 0:00,314,0.140764871,
9/18/2016 0:00,9/19/2016 0:00,583,0.268531774,
9/19/2016 0:00,9/20/2016 0:00,4530,2.022646968,
9/20/2016 0:00,9/21/2016 0:00,3343,1.409338776,
9/21/2016 0:00,9/22/2016 0:00,3210,1.415222701,
9/22/2016 0:00,9/23/2016 0:00,3699,1.657432166,
9/23/2016 0:00,9/24/2016 0:00,2381,0.960457667,
9/24/2016 0:00,9/25/2016 0:00,4035,1.842996304,
9/25/2016 0:00,9/26/2016 0:00,750,0.35414106,
9/26/2016 0:00,9/27/2016 0:00,3523,1.606157105,
9/27/2016 0:00,9/28/2016 0:00,3485,1.534107811,
9/28/2016 0:00,9/29/2016 0:00,4432,1.984588069,
9/29/2016 0:00,9/30/2016 0:00,2592,1.184196754,
9/30/2016 0:00,10/1/2016 0:00,10670,4.804946613,
10/1/2016 0:00,10/2/2016 0:00,6741,2.984098221,
10/2/2016 0:00,10/3/2016 0:00,5339,2.356115791,
10/3/2016 0:00,10/4/2016 0:00,9966.896711,4.225080277,
10/4/2016 0:00,10/5/2016 0:00,9118.003899,4.023916764,
10/5/2016 0:00,10/6/2016 0:00,4164.013488,1.731533842,
10/6/2016 0:00,10/7/2016 0:00,3943.085902,1.635497932,
10/7/2016 0:00,10/8/2016 0:00,12434.88304,5.32447696,
10/8/2016 0:00,10/9/2016 0:00,9783.116964,4.306178007,
10/9/2016 0:00,10/10/2016 0:00,4915,2.027552841,
10/10/2016 0:00,10/11/2016 0:00,3688,1.668992093,
10/11/2016 0:00,10/12/2016 0:00,3740,1.65087221,
10/12/2016 0:00,10/13/2016 0:00,3629,1.575429737,
10/13/2016 0:00,10/14/2016 0:00,1241,0.55008422,
10/14/2016 0:00,10/15/2016 0:00,1465,0.636774984,
10/15/2016 0:00,10/16/2016 0:00,2975.831156,1.361602134,
10/16/2016 0:00,10/17/2016 0:00,691.1688438,0.301942763,
10/17/2016 0:00,10/18/2016 0:00,1433,0.643224817,
10/18/2016 0:00,10/19/2016 0:00,4157,1.886060373,
10/19/2016 0:00,10/20/2016 0:00,1894,0.840000646,
10/20/2016 0:00,10/21/2016 0:00,3347,1.466331832,
10/21/2016 0:00,10/22/2016 0:00,1186,0.509772926,
10/22/2016 0:00,10/23/2016 0:00,472,0.200659399,
10/23/2016 0:00,10/24/2016 0:00,3023,1.320255415,
10/24/2016 0:00,10/25/2016 0:00,3437,1.536596992,
10/25/2016 0:00,10/26/2016 0:00,3359,1.470239632,
10/26/2016 0:00,10/27/2016 0:00,1755,0.770102485,
10/27/2016 0:00,10/28/2016 0:00,853,0.370697626,
10/28/2016 0:00,10/29/2016 0:00,2087,0.910166487,
10/29/2016 0:00,10/30/2016 0:00,353,0.157063996,
10/30/2016 0:00,10/31/2016 0:00,1195,0.522504822,
10/31/2016 0:00,11/1/2016 0:00,1560,0.649693291,
11/1/2016 0:00,11/2/2016 0:00,3522,1.540974991,
11/2/2016 0:00,11/3/2016 0:00,3924,1.711048639,
11/3/2016 0:00,11/4/2016 0:00,1372,0.62615575,
11/4/2016 0:00,11/5/2016 0:00,3757,1.653633183,
11/5/2016 0:00,11/6/2016 0:00,2097,0.95700345,
11/6/2016 0:00,11/7/2016 0:00,137,0.058529928,
11/7/2016 0:00,11/8/2016 0:00,4418,2.008115761,
11/8/2016 0:00,11/9/2016 0:00,3265,1.440159202,
11/9/2016 0:00,11/10/2016 0:00,1025,0.437445319,
11/10/2016 0:00,11/11/2016 0:00,3919,1.767310703,
11/11/2016 0:00,11/12/2016 0:00,1916,0.794373868,
11/12/2016 0:00,11/13/2016 0:00,502,0.223258463,
11/13/2016 0:00,11/14/2016 0:00,1289,0.556373009,
11/14/2016 0:00,11/15/2016 0:00,3398,1.50366036,
11/15/2016 0:00,11/16/2016 0:00,2299,0.987581013,
11/16/2016 0:00,11/17/2016 0:00,3479,1.495605558,
11/17/2016 0:00,11/18/2016 0:00,1073,0.43411477,
11/18/2016 0:00,11/19/2016 0:00,3418,1.497652441,
11/19/2016 0:00,11/20/2016 0:00,1010,0.42422803,
11/20/2016 0:00,11/21/2016 0:00,1529,0.682458194,
11/21/2016 0:00,11/22/2016 0:00,1677,0.727150581,
11/22/2016 0:00,11/23/2016 0:00,1106,0.505328866,
11/23/2016 0:00,11/24/2016 0:00,617,0.273421966,
11/24/2016 0:00,11/25/2016 0:00,576,0.234151306,
11/25/2016 0:00,11/26/2016 0:00,3367,1.479644154,
